codigo,espessura,raio_de_dobra,k_factor,coeficiente,dobra_minima,tipo
#20,0.90,3.50,0.338,7.2,10,lisa
#18,1.20,3.00,0.325,9.6,10,lisa
#16,1.50,2.51,0,499,12.0,10,lisa
#14,2.00,3.34,0.456,16.0,10,lisa
#13,2.25,3.00,0.463,18.0,12,lisa
#12,2.65,4.43,0.396,21.2,13,lisa
#11,3.00,5.01,0.451,24.0,15,lisa
#10,3.35,5.00,0.489,26.8,17,lisa
#9,3.75,4.50,0.481,30.0,20,lisa
#8,4.25,5.00,0.482,34.0,21,lisa
#3/16,4.75,5.50,0.497,38.0,25,lisa
#1/4,6.30,6.00,0.485,50.4,35,lisa
#5/16,8.00,12.00,0.478,64.0,40,lisa
#3/8,9.50,5.70,0.165,76.0,50,lisa
#1/2,12.50,7.50,0.165,100.0,60,lisa
#5/8,16.00,10,0.5,128.0,80,lisa
#3/4,19.00,19,0.001,152.0,10000,lisa
#7/8,22.20,22,0.001,177.60,10000,lisa
#1POL,25.40,25,0.001,203.2,10000,lisa
#1.1/4POL,32.00,32,0.001,256,10000,lisa
#1.1/2POL,38.00,38,0.001,304,10000,lisa
#16BZ,1.50,0.90,0.165,12.0,8,galvanizada
#14BZ,2.00,1.20,0.165,16.0,10,galvanizada
#12BZ,2.65,1.59,0.165,21.2,12,galvanizada
#12XDZ,2.65,4.00,0.466,24.2,12,xadrez
#11XDZ,3.00,3.00,0.464,27.0,12,xadrez
#3/16XDZ,4.75,3.45,0.165,41.0,18,xadrez
